subject_id;deception;deception_coded
R_3Sw7JJoHPICktR6;Maybe, but I went into it open minded.;maybe
R_6fli5ct9PuG4T0l;Probably!;maybe
R_6B40bhdSm5ev2qn;perhaps;maybe
R_1wbLIYzYFJztere;Possibly.;maybe
R_3QKxbVgNIOFPEuE;Probably.  Most of the studies are deceptive.;maybe
R_5LiOI9sEjRRxJsu;Possibly;maybe
R_6CHzK7IKgz16wIo;Yea I wondered;maybe
R_7pmL8g09HA6s0Hm;Maybe;maybe
R_5EgsKeZVudC5EK1;Not sure;maybe
R_5Bd3rBQhauaZA8p;Possibly, but it also seems plausible ;maybe
R_3D56G9oe1e2pRRf;Maybe. Seems like these participants were screened to target participants holding certain views.;maybe
R_3Nwlm21GTQKaAx7;possibly;maybe
R_5NgqnKkmLyPWH3L;not sure;maybe
R_7TzwjJkizAWTIwf;Possible because I know greed for power causes many to make promises they do not keep or are not capable of doing. The public has a general trust in words spoken in the moment and is wooed by immediate gradification. Its sad but true. Just look at what the Biden Admin is doing right now with closing the open gate right before elections. Its a sad but tried tactic. However, it will not work this time due to Bidens dementia. ;maybe
R_5LMwZzZopY4N5oR;;NA
R_5psTvZRsHugLfqj;;NA
R_3Oxif7mYEw1M77f;;NA
R_35uY34lmZDwvRsD;;NA
R_6w2Kfkc3LPLThdf;;NA
R_5fdz67jCUvUdA7n;;NA
R_5I63kikApneRt9i;;NA
R_3dgB704QcAGB5LN;;NA
R_1EoIYrRC8g1P4Dg;;NA
R_65gLARWuY94w4GR;;NA
R_7K719PT04iAYVXD;;NA
R_61BL0xvhcLTX29z;;NA
R_7SgTycTpj1vTKmJ;;NA
R_3YEva5hy6wpMEIy;;NA
R_5OT5EgGGfLqZJmo;;NA
R_5Et8Y9HKuzohVcu;;NA
R_3YhRlPs3A4N1BTk;;NA
R_6leVRzHyuSEiQcF;;NA
R_6Qth2RDvUFpAlFh;;NA
R_3qKgB8Ar8Rlln6d;;NA
R_6J2EtRVoNcPYze2;NA;NA
R_7SxZH0PaFuoQFPP;;NA
R_3nItVRbkHERjoBz;;NA
R_5v48cOFc50gk0gh;;NA
R_6kMk10EuM5lnGXg;;NA
R_3lasVLHKgkHVws8;;NA
R_1JgUgfpba2mGlU4;;NA
R_6oByuOZKe65Hv13;;NA
R_7OIr6UYDai1RQhC;;NA
R_5kbFeVF4NBEDGcp;;NA
R_3NzznWzWuyS3xUZ;;NA
R_6gRpwO4DfadnvI8;;NA
R_5Cr8MyH6dGRnc2N;;NA
R_5nO8TXjdzPkikQp;;NA
R_3g0NvUpp4vLuUFz;;NA
R_6eyD1cQ1nosTt3F;;NA
R_15vMHaIOTwXv6Fj;;NA
R_1keH7t0C8JM3xUR;;NA
R_7dp6soXyiaufziv;;NA
R_1ALw9iQ3pgDYCjk;;NA
R_6HqISQbzYw3ZTkl;;NA
R_3S9AjZu5JpH4wmL;;NA
R_7jIZSAbpuS5W21c;;NA
R_1m9JoQMB8wbsyX1;good;NA
R_3OjgJmBzSuwiuXZ;;NA
R_5VDe54yfkmpIxGo;;NA
R_5C4YrNgFluoMmtP;;NA
R_6mkN89xG9FWlKIu;;NA
R_1aULHi9asu6ONQB;;NA
R_3UfTJu27LTQM4JK;;NA
R_1c5UvxfPlbmqIvO;;NA
R_7TMQqHscNqtpnG1;N/A;NA
R_5egdlbDnSJYSfJt;N/A;NA
R_1oTanGBmy0cp649;;NA
R_63g0mas68rzimZP;;NA
R_7EcZ9BYw0wq1Ys4;no;no
R_52RxoceLRDPm7Rr;No;no
R_7d1cnKWGvWA1i2i;No, please.;no
R_3CZGeCcXIZWavIG;no;no
R_7JjPR8nZCFTvap3;No.;no
R_6gdMwS4Da3tVH2h;no;no
R_3EcxVqIBTojJvmW;no;no
R_7MIr5baS97hhXQB;I do not. ;no
R_7MwirdbjC3ldlQt;no;no
R_5TGILwhvO6R029z;no;no
R_5wsUkTWIgbaZSKZ;I do not suspect that I was deceived;no
R_36MEvsEL7D1UaYN;NO;no
R_30lQPLPbC6pU8P7;No;no
R_3zIRhRY7oKVPSj1;No;no
R_1Gu4FpLx2u0LXEJ;Not to my knowledge;no
R_6NnaunlNtcyxgl1;no;no
R_7n1ke5eRsGwtjgz;no;no
R_7oHG3wgVibYLCkl;no;no
R_6tspeLqr4vl1vmx;No.;no
R_676Tsq68KEsuX53;no;no
R_1shxzkfBIA4kZ8d;no;no
R_5XcUBCn9zRALW3F;No;no
R_1fd7F6bMBlboQxU;No.;no
R_3g4KPWFzNKjlkhZ;no;no
R_1dyrMPDHuAoy7Wb;No.;no
R_3PGCtsarvxe7KbP;No;no
R_1hmGew7PlVrDGjT;No;no
R_6hz5v5oAFY3fCXT;No;no
R_1taLXvB6IfiMFOh;no;no
R_3U2QjA2zMgvqFfA;no;no
R_63w3jH8se6D16q5;No.;no
R_3ke8qiJsQh8QJCE;I don't think so.;no
R_6NqvqdT9w2uizmC;No;no
R_7qn3Cp2Jmc9InAl;No.;no
R_5noQFMR4fJ3LMDO;not really;no
R_3J5i6eV4nQXx0s8;no;no
R_50uVK4GqFgoqlZF;no;no
R_6iaQhPec9cO6uOg;no;no
R_51FA7ePICmTbRA1;no;no
R_6HePU7pglIQy4pt;no;no
R_31BhjlezFniUHDP;No;no
R_7ARKI1hnxsqyE7G;no;no
R_1EtrYY4rFJCUE0N;no;no
R_1q7HdYY5vgLuIxR;No;no
R_66fZqH9O9oKFj1Z;no not that i'm aware of.;no
R_5mld2q98DSYDdlf;no;no
R_12MsB4g3A4Kkhw0;no.;no
R_7BShoDTTIjXr0HL;No;no
R_6iWpw02uf6smG9I;no;no
R_3U4VHmn1oOzs43T;No;no
R_7cCaRXuYIxEdCQA;I don't believe so.;no
R_3nSj8iNkp0DnzXj;No;no
R_6Ra9jHVKYPkSRu4;No;no
R_3X1J4CCyS0J4XWA;no;no
R_7nwxDtEW668TgYS;No;no
R_3lVRbiDvH0Kf4uL;I did not.;no
R_7WmyzXuN4174eDT;no;no
R_6YR6mfU40J39fW1;Nothing.;no
R_3eQjHeEb9JqAUlp;no;no
R_6xWpEGBy92WHYb7;No.;no
R_5kc9WDWphmwwoHv;o;no
R_1U02xjaAgK6y7NK;no;no
R_6eaHh4ikNbSiZgr;no;no
R_71xVdF82UVeL80F;No;no
R_7E6L0lJtbBYcppJ;Not really;no
R_7luDisrSjqIlaye;no;no
R_3D86n3ZtY5SKj3Q;no, I did not;no
R_6Mrzdx9peybN4Q1;No.;no
R_714arCDSQr910e5;no;no
R_3sYIeNgjlAE9lXd;No;no
R_52FT3ELjuOOfplo;none;no
R_1YTyA3O662oSC7T;No;no
R_3ItL2JLRGTPjNcJ;No;no
R_1es07MItMV9ddOO;No;no
R_7Qs1DsaamFTeCwN;no;no
R_1L1Atg05fYK3gs1;no;no
R_5n2ct9yE4fo8LHb;no;no
R_5blxrR1Ypxcno09;no;no
R_1n6BUkB4y6SM0VE;No;no
R_39rYmtY3miYTI4x;no;no
R_5oGqdx7Z38wjlaK;Not really. ;no
R_6VqL8TQxRu3Tr2C;No;no
R_1Kwoo4fo5pdyzMn;no;no
R_72mdmpSk05n6vuK;I hope not, it didn't feel like it.;no
R_1WpNztS4i7hkbCx;no;no
R_7GrIxW5YLjNfvJT;No;no
R_5e4SAeARiRCK6O2;No;no
R_15Hq7qMIstoumfE;No.;no
R_3ilElZ9xKIZ3lUn;no;no
R_5dhI1ayXwv3MTtP;no;no
R_31nBFG4m7iguztq;No.;no
R_1AMTkqmaUXrULN1;no;no
R_5QaZLccxppfx4Jj;no.;no
R_5QzH2RwZbVm8sN3;no;no
R_1P1aENTuKwnC5UJ;no;no
R_5IFLP8xHusK8fnZ;No;no
R_3LbCBxXPXAblBdt;no;no
R_6TdAJJXRPhOCBwJ;NO;no
R_6tJSSGGw8iXKwp3;You might have just made up the radio show, but I didn't really think about it until you asked this questions, so I guess my answer is no.;no
R_1VBDsDfAfJaaHqT;No;no
R_5RkJ4OgpH03XYZv;I would hope not;no
R_5X0eQMs1jdM3mrk;no;no
R_11WRlgvogLVZCsR;No. ;no
R_7iVlyPCTdcnE8tp;I wasn't until you asked that question.;no
R_6MxShUe0MJEpCzX;No;no
R_1M4OpYSutPOVR32;no;no
R_6jKk3wDLiiQpcBP;Nope;no
R_1R92N3u2Q2heJdi;no;no
R_10teadVaesS555f;No;no
R_67dfpFWJQnXxP69;no;no
R_1EMF4b2DrahntNL;no;no
R_7Kx6KLi2EE3Aj0G;no, not deceived but these issues are not all black or white.;no
R_7Vw5GdQQXeKaObW;No;no
R_6IPI9e876BWOpd8;Not deceived, but the abortion question was too simple. The real question is about the third trimester, for R's, D's and most everyone else.;no
R_5GNBbN5gTgOcz8e;I was looking for something - but didn't see a deliberate deception;no
R_1vf6FuvK7b7dwxZ;no;no
R_5CWe51x2V0w2egJ;no;no
R_1ptwB8Sg1M4cVBg;No;no
R_6BzBholKn6UKR4C;no;no
R_1z5Q6TfTttolEee;No;no
R_3kHYc2RPj5GDIbb;No;no
R_6pW4q3dYIcU4B0X;no;no
R_5ZPmLK8caLqqrsb;No deception;no
R_1rk8lX6mrb4GE2B;nothing;no
R_6MuQLw1D2e4eu7X;No;no
R_7oENeiSeLPmCG6c;no;no
R_5ml70T91Sz94IbR;no;no
R_61ZQ9Cw43qWGcVz;I have no idea;no
R_6a4Tq8cCxqGOlxL;No;no
R_1XdFE7wPEqmbdNI;No.;no
R_7koTlaC6CBO807v;None;no
R_5gHm1KfBuDeWTQk;No;no
R_6xKTkCA2PnKJHTX;no;no
R_34OTyyUWVFwOF7Z;no;no
R_5eJeSLjUBxXhww9;no;no
R_5VdQ6GiiZlO5i0h;no;no
R_1VHZiWdZKphT8Rm;no;no
R_638iRFhYhEzloje;No;no
R_3rvMg8k4KLVWZ57;No. Was I deceived?;no
R_1hWictQMq5oqu1D;no, it was very transparent;no
R_3uKwFbFNzPgzE8K;no;no
R_6Gs0hq9iHf5KQ8D;No. Thank you.;no
R_1nOQkYFrHvJeg5L;no;no
R_7rM0ENQaT8Gu2Jn;I don't think so. Since I was once a lib and now a conservative, I know how both sides think.;no
R_31Wo9tu3CURYIUo;No, I did not suspect any deception about this study. The purpose and format of the study were clearly outlined, and the transcript of the radio show was consistent with the described aim of providing a realistic impression of political disagreements through civil discourse between average citizens.;no
R_5FFYsU9f5qg5AsF;no;no
R_6wWbMOZjFcfbRIZ;no;no
R_5cqHvqCijFDEZKy;not really;no
R_7hi4C5BjQz4JXrz;No;no
R_52omo7S1AW5jtsN;No, not really;no
R_61BbSfex52WDSLh;No ;no
R_8dZy40zL4IqAJtX;no;no
R_1QA2hZh6JPSMoeQ;No.;no
R_3BW1GbGMJfS8a3Z;no;no
R_74Gn1aUbourRa0y;no;no
R_3dcAcsjrSC2RDa0;No;no
R_1lnNi1g5zLSjKgF;no.;no
R_7kgBW256RrycoCF;no;no
R_3KTRsRZ0f5bSBZR;no;no
R_7q0yoMJcbKU870R;No;no
R_346lp4g8Y4rhQM3;No I did not suspect anything.;no
R_3pBwNZa0RVFVz4B;no;no
R_3PYS4HmqmRNkCOn;None;no
R_3rTDzoFY1EqevDP;No I didn't feel that way.;no
R_1FxDYkdXNIf1FVC;No;no
R_1KsrgjZ4unjNrbP;no;no
R_7mL9Z6hVDAeXuhP;no;no
R_3INkW9yr5pu05dL;No, I felt like this study was straightforward.;no
R_7exXRlR1FSBc28q;no;no
R_6ZU44ZWJu9esciB;no;no
R_3ffFc10VQWZ3ykC;no;no
R_6HMtTUE1ktDdDOw;no;no
R_1iz0BQNari8s4C9;no;no
R_6kgDNBhDWJvAiCs;no;no
R_3OjlniyNDKeuiBa;Not at all.;no
R_5gbT8nzB0dTLl5L;No;no
R_50CK4ZHuqe4lnIO;no;no
R_3uqvtCIW4cCa8jj;Not particularaly.;no
R_7IpjIsYNXMU4Qxz;No;no
R_54o6GbJzGsSOUKZ;No;no
R_3ReJCeIThHUzkD7;No;no
R_6REAwsdeCtOSt7r;No ;no
R_3pxwcH4sKKiyZGy;no;no
R_1sNc5iRFg8pHK4F;No;no
R_7mI8zn5TxS09lam;No;no
R_7CEhC4QnwhDUUeG;No. ;no
R_34Huvs4vjqUm72F;I assumed there was going to be actual audio. Deception seems a strong word.;no
R_7E6jCnDOpg7z0YZ;no;no
R_6qDVZYsiMOQV7Dr;Not that I know of.;no
R_75B3oLA5KECAh8t;no;no
R_5wBt7ubkTocq23v;I did not suspect deception at any point in the study.;no
R_1QAJw3Ql1172b7b;No;no
R_1VegcfGYI8O10VZ;No;no
R_5HTZYBqCbWlL8JP;no;no
R_7pXuGGNGFqhDFeq;No;no
R_1el7ygm5LijBmfg;no;no
R_5Ezuyt7BKH7VXrr;no;no
R_7kOse2NLjynvpno;No;no
R_3rJiW160tSj4EXn;No;no
R_1CqEkdZcjxQ3VJS;No;no
R_3rREbHF9VUSYmZP;If I was deceived I didn't catch it.;no
R_7JwncbAPHMMMMKk;not really.;no
R_6S0S9nxj7ExZrSX;no;no
R_1rYJIRfMUHjNztM;no;no
R_5j9EvANKI6nrEgt;No;no
R_71gT8wuV2smwPFu;No;no
R_6i87p4suPmcBmB3;No, I did not.;no
R_3PgKyvlsXQ3hiCX;no;no
R_3TwjKHZW3s1q6Fb;No;no
R_7QR7kwuxMubJBCW;No.;no
R_5prr4eEfFaWkOGX;Yes;yes
R_6pGxPGp5oRJpalK;You guys always do, duh.;yes
R_7zeaDiZFK7joFg7;Yes;yes
R_6YlWG7qV7AVCkXD;Yes;yes
R_50O6ghHhnwlg4Y7;yeah it seemed suspicious overall;yes
R_13e5HillwaJBCiK;Yes, I believe using a dark color and a light color for the participants can add some biases (Who's right, who's wrong, etc) to some people.;yes
R_3fT1fz8C8AUAWsn;Yes.;yes
R_3S1zEmuSaY4SPdt;yes;yes
